0.783,0.185,22761,41.12913106,-78.9986361,0.005106421,0.017699115,44258,1.015116332,0.8,97.3,0.6,0.2,0.3,0,34790,45342,20.8,26.3,17.3,19.7,13.8,22.9,83.2,8.5,0.5,4,1.1,2.7,23.1,19833,82,7.5,0.3,4.7,0
0.475,0.467,12036,43.29094334,-91.84422722,0.026439854,0.016544118,20575,0.996409858,2.2,95.2,1,0.2,1.1,0,16402,60788,7.9,36.4,16.4,21.9,10.9,14.4,68.1,6.6,0.1,14.8,1.5,9,17.9,11957,81.2,9,0.1,2,0
0.601,0.341,10010,46.60962049,-93.4116826,0.01464554,0.012931034,15841,0.960762471,1.3,94.1,0.5,2.2,0.4,0,13155,45860,15.9,30.7,19.9,23.1,13.2,13,79.4,9.1,0.5,4.1,1.5,5.4,26,6274,75.8,8.4,0.1,6.2,0
0.539,0.428,1590,32.34341231,-84.78809239,0.16258111,0.000554324,11096,0.488397049,15.3,59.1,17.9,0.8,2.5,0.2,8372,46096,17.9,31.9,18,21.6,14.3,14.1,49.2,9.5,0.4,9.8,1.9,29.2,15.5,2210,55.6,4.9,0.2,15.2,0
0.387,0.56,194882,41.62101218,-83.65468618,0.020964274,0.041602465,433404,1.062237702,6.8,69.4,18.7,0.2,1.7,0,325814,44820,28.1,33.7,19.4,23,7,16.9,84.3,7.8,1.6,2.1,1.3,2.9,20.6,197953,83.8,4.8,0.1,8.5,1
0.879,0.086,1834,35.68711719,-99.69666167,0.024638457,0.043478261,3734,1.056167401,6.8,84.2,0.1,1.8,0,0,2730,51286,29.1,29.6,13.5,28.2,14,14.7,79,9.9,0.1,2.3,0.1,8.6,20.7,1696,63.4,13.7,2.3,3.4,0
0.634,0.321,14725,38.78576239,-85.43633383,0.013872976,0.011160714,32293,1.094635792,2.6,93,2,0.2,0.8,0,25427,50722,19.6,30,16,17.7,9.5,26.7,83.2,8.1,0.4,3,1.3,3.9,24.2,14465,82.8,3.7,0.7,6.9,0
0.732,0.237,48754,34.81185586,-86.98310072,0.033894978,0.010939511,91695,0.998191288,5.8,77.2,13.1,0.7,1.2,0,68544,52831,20,36.1,15.5,21.5,11.3,15.7,88.3,7.5,0.1,0.5,0.8,2.8,25.7,38944,77.3,6.2,0.2,7.1,0
0.729,0.224,9775,39.98492163,-94.80163024,0.027307293,0.016877637,17358,1.01322199,2.3,94.9,1.3,0.1,0.1,0,13329,56658,8.3,35.4,14.9,22.6,10.6,16.5,86.8,6.6,0,2.2,0.5,3.8,22.5,8504,78.3,5.4,0.1,4.2,0
0.47,0.485,31988,36.23103603,-81.70033724,0.026843376,0.0041841,53421,1.004013955,3.4,91.9,1.5,0.3,0.8,0.1,45706,41541,21.8,36.3,24.2,25.1,7.5,6.8,73.9,9.5,2,6.4,0.6,7.7,20,24564,70.1,7.9,0.3,8.1,1
0.43,0.538,22078,35.01888303,-79.23651674,0.030358943,0.01566416,52571,1.022506059,12.8,40.5,32.5,7.9,1.4,0.1,35737,45713,28.8,29.4,19.6,22.1,12.8,16,85.8,8.7,1,0.5,1.1,2.8,27.1,17925,73.2,3.6,0,12.4,1
0.33,0.573,3804,48.77245354,-99.84097493,0.033294671,0.018442623,14657,1.021655172,0.5,18.8,0.5,78.1,0.3,0,9704,36170,45.8,38.3,20.1,19.4,13.7,8.5,86.6,3.8,0.1,2,0.3,7.3,16.9,5112,41.5,8.9,0.6,7.4,1
0.43,0.526,417408,39.19673558,-84.54502924,0.023531507,0.018339464,808703,1.076280629,3,65.9,25.6,0.1,2.4,0.1,600197,52389,24.8,41.4,17.7,23.6,5.8,11.5,79.8,8,3.8,2.9,1,4.5,23.2,394387,85.2,4.5,0.1,7,1
0.887,0.092,4796,33.61569967,-98.68754589,0.018764927,0.006060606,8793,1.028373702,8.3,88.6,0.8,0.3,0.4,0,6712,63192,10.1,34.2,13.4,25.3,12.9,14.2,86,6.9,0.3,1,1.1,4.7,20.4,4344,75.6,9.8,0,3,0
0.301,0.663,158252,40.28047017,-74.70479631,0.025278416,0.067810977,373362,1.04365794,16.9,50.8,19.7,0,10.7,0,251832,77027,15.5,44.7,17.2,22.5,6.1,9.4,71.1,10.6,7.9,3.4,1.9,5,28.3,181602,80,3.9,0.1,7.5,1
0.704,0.25,15495,41.02078733,-87.11553319,0.024485769,0.006105006,33448,1.018831482,5.9,91.7,0.7,0,0.4,0,24860,56574,11.5,25.3,15.8,20.7,16.8,21.4,85.3,8.3,0.5,1.9,0.9,3.1,27,15315,85.9,4.6,0.3,5.2,0
0.735,0.21,16066,36.1173546,-90.55832668,0.037694866,0.012004802,44197,1.026827479,2.7,93.9,1,0.3,0.3,0.1,33207,45566,23.2,27.8,15.1,22.9,9.8,24.5,86.9,8.8,0.1,1.1,0.9,2.2,20.3,19093,79.2,7.3,0.1,7,0
